Id,Type,Title,Year,LengthMinutes,MediaGenres
tt0273606,movie,Feri és az édes élet,2001,90,"Comedy,Drama,Family"
tt0273607,movie,Festival in Cannes,2001,100,Comedy
tt0273650,movie,Higher Ed,2001,83,Comedy
tt0273689,movie,It's All About Love,2003,106,"Drama,Romance,Sci-Fi"
tt0273715,movie,Kleine Kreise,2001,85,"Comedy,Drama"
tt0273719,movie,En kort en lang,2001,98,"Comedy,Drama,Romance"
tt0273726,movie,Christmas Nightmare,2001,90,"Horror,Thriller"
tt0273772,movie,Pas d'histoires!,2001,70,"Animation,Comedy,Drama"
tt0273799,movie,Max Keeble's Big Move,2001,86,"Action,Comedy,Crime"
tt0273805,movie,Meine polnische Jungfrau,2001,103,Comedy
tt0273812,movie,Miel para Oshún,2001,123,"Comedy,Drama"
tt0273822,movie,Mockingbird Don't Sing,2001,98,"Biography,Drama"
tt0273833,movie,Mongoland,2001,84,"Comedy,Drama,Romance"
tt0273840,movie,Moszkva tér,2001,88,"Comedy,Drama,Romance"
tt0273850,movie,My Brother Tom,2001,105,Drama
tt0273851,movie,My Kingdom,2001,117,"Crime,Drama"
tt0273910,movie,Ogni lasciato è perso,2001,95,"Comedy,Romance"
tt0273923,movie,Orange County,2002,82,"Comedy,Drama"
tt0273949,movie,Paszport,2001,71,Drama
tt0273982,movie,Poolhall Junkies,2002,99,"Comedy,Drama,Sport"
tt0274019,movie,Pyaar Diwana Hota Hai,2002,148,"Comedy,Drama,Romance"
tt0274024,movie,Quiet Kill,2004,82,"Crime,Romance,Thriller"
tt0274031,movie,Ralph Bunche: An American Odyssey,2001,117,Documentary
tt0274057,movie,Robbie's Brother,2001,88,Comedy
tt0274117,movie,Sur mes lèvres,2001,115,"Crime,Drama,Romance"
tt0274154,movie,Tango Kabaree,2001,95,"Biography,Comedy,Drama"
tt0274155,movie,Tanguy,2001,108,Comedy
tt0274166,movie,Johnny English,2003,87,"Action,Adventure,Comedy"
tt0274181,movie,Un moment de bonheur,2001,84,Drama
tt0274189,movie,Vampire Junction,2001,94,"Horror,Western"
tt0274193,movie,Vera,2003,86,"Drama,Mystery"
tt0274234,tvSeries,The Andy Dick Show,2001,30,Comedy
tt0274238,tvSeries,Bands on the Run,2001,60,Music
tt0274240,tvSeries,The Book of Pooh,2001,30,"Adventure,Animation,Comedy"
tt0274252,tvSeries,Diseñador ambos sexos,2001,30,"Comedy,Romance"
tt0274260,tvSeries,Guinness World Records,2004,50,Documentary
tt0274262,tvSeries,Heavy Gear: The Animated Series,2001,30,"Action,Animation,Sci-Fi"
tt0274266,tvSeries,Kaspar i Nudådalen,2001,15,Family
tt0274272,tvSeries,Name That Video,2001,30,Game-Show
tt0274277,tvSeries,Popworld,2001,45,"Music,Talk-Show"
tt0274279,tvSeries,SOKO Leipzig,2001,45,Crime
tt0274286,tvSeries,Shipwrecked II,2001,30,"Adventure,Game-Show,Reality-TV"
tt0274289,tvSeries,Small Shots,2001,30,Comedy
tt0274296,tvSeries,U8TV: The Lofters,2001,30,Reality-TV
tt0274297,tvSeries,"La vie, la vie",2001,30,Drama
